filename,algo,sim,threshold,exe,pairs,lookups,indexEntriesSeen,candidatesP1,candidatesVerify,verifyTrueSteps,verifyTrueSetSizeSum,verifyTrueSetSizeCnt,verifyFalseSteps,verifyFalseSetSizeSum,verifyFalseSetSizeCnt,verifyLoop0True,verifyLoop0False,readrawrecords,algoindex,algojoin,readrawforeignrecords,adaptjoinlastext0,adaptjoinlastext1,adaptjoinlastext2,adaptjoinlastext3,adaptjoinlastext4,adaptjoinlastext5,adaptjoinlastext6,adaptjoinlastext7,adaptjoinlastext8,adaptjoinlastext9,adaptjoinlastext10,adaptjoinlastext11,adaptjoinlastext12,adaptjoinlastext13,adaptjoinlastext14,adaptjoinlastext15,adaptjoinlastext16,adaptjoinlastext17,adaptjoinlastext18,adaptjoinlastext19,adaptjoinlastext20
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,adaptjoin,containment,0.5,set_sim_join_candonly,0,,,,,,,,,,,,,3336,1272,666996,324,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,ppjoin,containment,0.9,set_sim_join_nostat,3770786,,,,,,,,,,,,,3408,1044,8968,328,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,groupjoin,containment,0.6,set_sim_join_nostat,152411294,,,,,,,,,,,,,3292,1444,200700,340,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,adaptjoin,containment,0.8,set_sim_join_nostat,4806011,,,,,,,,,,,,,3460,1232,47704,332,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,mpjoin_PEL,containment,0.9,set_sim_join_candonly,0,,,,,,,,,,,,,3376,1036,4932,324,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,ppjoin,containment,0.7,set_sim_join_ext_stat,12966629,1405418,1120672112,541747159,541747159,32321663,132511017,25933258,869979797,5881450456,1057561060,2624904,3406222,3368,1028,51932,336,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,groupjoin,containment,0.5,set_sim_join_ext_stat,2406980403,2206153,8035363985,4946464337,4983064582,928639317,18576577854,4813960806,4114341133,28423406763,5152168358,1839296728,119929319,3348,1620,681292,516,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,allpairs,containment,0.8,set_sim_join_ext_stat,4806011,1203524,553896335,551344825,551344825,12273072,40626408,9612022,1491186495,5568472859,1093077628,2624904,4139283,3312,876,32400,328,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,groupjoin,containment,0.7,set_sim_join_candonly,0,,,,,,,,,,,,,3292,1608,20400,512,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,allpairs,containment,0.9,set_sim_join_nostat,3770786,,,,,,,,,,,,,3348,936,11808,336,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,adaptjoin,containment,0.9,set_sim_join_candonly,0,,,,,,,,,,,,,3448,1276,27852,336,,,,,,,,,,,,,,,,,,,,,
/u/zhengw14/data/AOL-user-ct-collection/aol-data-white-dedup-raw90.txt,mpjoin_PEL,containment,0.85,set_sim_join_ext_stat,3828906,1062948,275586781,193434239,193434239,3444816,27695505,7657812,297729890,1857130848,379210666,2624904,,3364,1028,10720,336,,,,,,,,,,,,,,,,,,,,,
